 [2023-08-22 21:19:50,479] Register - step 01: Navigate to 'Register' page
 [2023-08-22 21:19:51,627] Register - step 02: enter to Firstname textbox with value is 'Dino'
 [2023-08-22 21:19:51,743] Register - step 03: enter to lastName textbox with value is 'Cummerata'
 [2023-08-22 21:19:52,098] Register - step 04: enter to Email textbox with value is 'logan.connelly@yahoo.com'
 [2023-08-22 21:19:52,234] Register - step 05: enter to Password textbox with value is 'zj2a8$j2'
 [2023-08-22 21:19:52,326] Register - step 06: enter to confirmPassword textbox with value is 'zj2a8$j2'
 [2023-08-22 21:19:52,423] Register - step 07: click to 'Register' Button
 [2023-08-22 21:19:53,115] Login - step 08: verify 'succes message' is displayed
 [2023-08-22 21:19:53,167]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:19:53,167] Register - step 09: click to 'Home Page' link
 [2023-08-22 21:19:53,664] Login - step 01: Navigate to 'Register' page
 [2023-08-22 21:19:54,051] Login - step 02: enter to Email textbox with value is 'logan.connelly@yahoo.com'
 [2023-08-22 21:19:54,150] Login - step 03: enter to Password textbox with value is 'zj2a8$j2'
 [2023-08-22 21:19:54,243] Login - step 04: click to 'Login' button
 [2023-08-22 21:19:54,931] Login - step 05: verify 'My account link' is displayed
 [2023-08-22 21:19:54,981]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:19:54,981] Login - step 06: click to 'My account' link
 [2023-08-22 21:19:55,371] Login - step 07: verify 'customer info' page is displayed
 [2023-08-22 21:19:55,414]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:19:55,420] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-22 21:19:55,806] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-22 21:19:55,853]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:19:55,853] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-22 21:19:55,889]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:19:55,889] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-22 21:19:55,928]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:19:55,928] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-22 21:19:55,965]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:19:55,969] OS name = windows 11
 [2023-08-22 21:19:55,969] Driver instance name = chromedriver: chrome on windows (4c49955a02c29d84f3d30658acd34586)
 [2023-08-22 21:37:17,891] Register - step 01: Navigate to 'Register' page
 [2023-08-22 21:37:19,014] Register - step 02: enter to Firstname textbox with value is 'Earleen'
 [2023-08-22 21:37:19,137] Register - step 03: enter to lastName textbox with value is 'Goyette'
 [2023-08-22 21:37:19,516] Register - step 04: enter to Email textbox with value is 'britt.lemke@gmail.com'
 [2023-08-22 21:37:19,659] Register - step 05: enter to Password textbox with value is 'snp#9NAg'
 [2023-08-22 21:37:19,758] Register - step 06: enter to confirmPassword textbox with value is 'snp#9NAg'
 [2023-08-22 21:37:19,859] Register - step 07: click to 'Register' Button
 [2023-08-22 21:37:20,532] Login - step 08: verify 'succes message' is displayed
 [2023-08-22 21:37:20,580]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:20,580] Register - step 09: click to 'Home Page' link
 [2023-08-22 21:37:21,067] Login - step 01: Navigate to 'Register' page
 [2023-08-22 21:37:21,983] Login - step 02: enter to Email textbox with value is 'britt.lemke@gmail.com'
 [2023-08-22 21:37:22,081] Login - step 03: enter to Password textbox with value is 'snp#9NAg'
 [2023-08-22 21:37:22,175] Login - step 04: click to 'Login' button
 [2023-08-22 21:37:22,840] Login - step 05: verify 'My account link' is displayed
 [2023-08-22 21:37:22,896]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:22,896] Login - step 06: click to 'My account' link
 [2023-08-22 21:37:23,274] Login - step 07: verify 'customer info' page is displayed
 [2023-08-22 21:37:23,318]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:23,322] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-22 21:37:23,689] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-22 21:37:23,731]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:23,731] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-22 21:37:23,768]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:23,769] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-22 21:37:23,811]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:23,811] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-22 21:37:23,850]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:23,856] OS name = windows 11
 [2023-08-22 21:37:23,856] Driver instance name = chromedriver: chrome on windows (c091b76dcdd1c9d34ca4f80c359c4a10)
 [2023-08-22 21:37:53,946] Register - step 01: Navigate to 'Register' page
 [2023-08-22 21:37:55,113] Register - step 02: enter to Firstname textbox with value is 'Ismael'
 [2023-08-22 21:37:55,248] Register - step 03: enter to lastName textbox with value is 'Lowe'
 [2023-08-22 21:37:55,621] Register - step 04: enter to Email textbox with value is 'heather.marquardt@gmail.com'
 [2023-08-22 21:37:55,768] Register - step 05: enter to Password textbox with value is '$l%&sH#5!'
 [2023-08-22 21:37:55,864] Register - step 06: enter to confirmPassword textbox with value is '$l%&sH#5!'
 [2023-08-22 21:37:55,968] Register - step 07: click to 'Register' Button
 [2023-08-22 21:37:56,679] Login - step 08: verify 'succes message' is displayed
 [2023-08-22 21:37:56,725]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:37:56,725] Register - step 09: click to 'Home Page' link
 [2023-08-22 21:37:57,311] Login - step 01: Navigate to 'Register' page
 [2023-08-22 21:38:08,804] Login - step 02: enter to Email textbox with value is 'heather.marquardt@gmail.com'
 [2023-08-22 21:38:08,921] Login - step 03: enter to Password textbox with value is '$l%&sH#5!'
 [2023-08-22 21:38:09,027] Login - step 04: click to 'Login' button
 [2023-08-22 21:38:09,812] Login - step 05: verify 'My account link' is displayed
 [2023-08-22 21:38:09,862]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:38:09,862] Login - step 06: click to 'My account' link
 [2023-08-22 21:38:10,262] Login - step 07: verify 'customer info' page is displayed
 [2023-08-22 21:38:10,309]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:38:10,316] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-22 21:38:10,688] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-22 21:38:10,734]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:38:10,734] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-22 21:38:10,776]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:38:10,776] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-22 21:38:10,829]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:38:10,829] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-22 21:38:10,895]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:38:10,901] OS name = windows 11
 [2023-08-22 21:38:10,901] Driver instance name = chromedriver: chrome on windows (7241fefd44c168cf0f2d4b6ba784bf1f)
 [2023-08-22 21:42:08,840] Register - step 01: Navigate to 'Register' page
 [2023-08-22 21:42:09,958] Register - step 02: enter to Firstname textbox with value is 'Bruno'
 [2023-08-22 21:42:10,066] Register - step 03: enter to lastName textbox with value is 'Prosacco'
 [2023-08-22 21:42:10,455] Register - step 04: enter to Email textbox with value is 'kendrick.okuneva@yahoo.com'
 [2023-08-22 21:42:10,595] Register - step 05: enter to Password textbox with value is 'b$8f8Q$mo@1'
 [2023-08-22 21:42:10,709] Register - step 06: enter to confirmPassword textbox with value is 'b$8f8Q$mo@1'
 [2023-08-22 21:42:10,825] Register - step 07: click to 'Register' Button
 [2023-08-22 21:42:11,606] Login - step 08: verify 'succes message' is displayed
 [2023-08-22 21:42:11,655]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:42:11,655] Register - step 09: click to 'Home Page' link
 [2023-08-22 21:42:12,191] Login - step 01: Navigate to 'Register' page
 [2023-08-22 21:42:12,589] Login - step 02: enter to Email textbox with value is 'kendrick.okuneva@yahoo.com'
 [2023-08-22 21:42:12,687] Login - step 03: enter to Password textbox with value is 'b$8f8Q$mo@1'
 [2023-08-22 21:42:12,787] Login - step 04: click to 'Login' button
 [2023-08-22 21:42:14,017] Login - step 05: verify 'My account link' is displayed
 [2023-08-22 21:42:14,076]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:42:14,076] Login - step 06: click to 'My account' link
 [2023-08-22 21:42:14,476] Login - step 07: verify 'customer info' page is displayed
 [2023-08-22 21:42:14,524]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:42:14,529] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-22 21:42:14,902] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-22 21:42:14,943]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:42:14,944] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-22 21:42:14,977]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:42:14,977] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-22 21:42:15,008]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:42:15,008] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-22 21:42:15,038]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:42:15,043] OS name = windows 11
 [2023-08-22 21:42:15,043] Driver instance name = chromedriver: chrome on windows (af28a2c77cac1245c1382bc7a54ffac7)
 [2023-08-22 21:54:46,217] Register - step 01: Navigate to 'Register' page
 [2023-08-22 21:54:47,295] Register - step 02: enter to Firstname textbox with value is 'Shannon'
 [2023-08-22 21:54:47,394] Register - step 03: enter to lastName textbox with value is 'Fritsch'
 [2023-08-22 21:54:47,721] Register - step 04: enter to Email textbox with value is 'brant.marks@hotmail.com'
 [2023-08-22 21:54:47,853] Register - step 05: enter to Password textbox with value is '#5GWVkC*f9u'
 [2023-08-22 21:54:47,942] Register - step 06: enter to confirmPassword textbox with value is '#5GWVkC*f9u'
 [2023-08-22 21:54:48,035] Register - step 07: click to 'Register' Button
 [2023-08-22 21:54:48,714] Login - step 08: verify 'succes message' is displayed
 [2023-08-22 21:54:48,760]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:54:48,760] Register - step 09: click to 'Home Page' link
 [2023-08-22 21:54:49,215] Login - step 01: Navigate to 'Register' page
 [2023-08-22 21:54:49,586] Login - step 02: enter to Email textbox with value is 'brant.marks@hotmail.com'
 [2023-08-22 21:54:49,673] Login - step 03: enter to Password textbox with value is '#5GWVkC*f9u'
 [2023-08-22 21:54:49,758] Login - step 04: click to 'Login' button
 [2023-08-22 21:54:50,402] Login - step 05: verify 'My account link' is displayed
 [2023-08-22 21:54:50,453]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:54:50,454] Login - step 06: click to 'My account' link
 [2023-08-22 21:54:50,819] Login - step 07: verify 'customer info' page is displayed
 [2023-08-22 21:54:50,866]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:54:50,870] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-22 21:54:51,274] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-22 21:54:51,313]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:54:51,314] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-22 21:54:51,352]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:54:51,352] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-22 21:54:51,382]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:54:51,382] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-22 21:54:51,425]  -------------------------- PASSED -------------------------- 
 [2023-08-22 21:54:51,429] OS name = windows 11
 [2023-08-22 21:54:51,429] Driver instance name = chromedriver: chrome on windows (97b22700dafde051dc3555f33c2f4707)
 [2023-08-23 19:32:16,621] Register - step 01: Navigate to 'Register' page
 [2023-08-23 19:32:17,803] Register - step 02: enter to Firstname textbox with value is 'Marceline'
 [2023-08-23 19:32:17,922] Register - step 03: enter to lastName textbox with value is 'Orn'
 [2023-08-23 19:32:18,374] Register - step 04: enter to Email textbox with value is 'roma.schuppe@gmail.com'
 [2023-08-23 19:32:18,501] Register - step 05: enter to Password textbox with value is 'JrMWTq$3vH#'
 [2023-08-23 19:32:18,586] Register - step 06: enter to confirmPassword textbox with value is 'JrMWTq$3vH#'
 [2023-08-23 19:32:18,681] Register - step 07: click to 'Register' Button
 [2023-08-23 19:32:19,897] Login - step 08: verify 'succes message' is displayed
 [2023-08-23 19:32:19,942]  -------------------------- PASSED -------------------------- 
 [2023-08-23 19:32:19,942] Register - step 09: click to 'Home Page' link
 [2023-08-23 19:32:20,478] Login - step 01: Navigate to 'Register' page
 [2023-08-23 19:32:20,855] Login - step 02: enter to Email textbox with value is 'roma.schuppe@gmail.com'
 [2023-08-23 19:32:20,940] Login - step 03: enter to Password textbox with value is 'JrMWTq$3vH#'
 [2023-08-23 19:32:21,027] Login - step 04: click to 'Login' button
 [2023-08-23 19:32:21,690] Login - step 05: verify 'My account link' is displayed
 [2023-08-23 19:32:21,738]  -------------------------- PASSED -------------------------- 
 [2023-08-23 19:32:21,738] Login - step 06: click to 'My account' link
 [2023-08-23 19:32:22,118] Login - step 07: verify 'customer info' page is displayed
 [2023-08-23 19:32:22,167]  -------------------------- PASSED -------------------------- 
 [2023-08-23 19:32:22,170] Myaccount - step 01: Navigate to 'My account' Page
 [2023-08-23 19:32:22,552] Myaccount - step 02: verify 'customer info' page is displayed
 [2023-08-23 19:32:22,585]  -------------------------- PASSED -------------------------- 
 [2023-08-23 19:32:22,585] Myaccount - step 03: verify 'Firt Name' value is correctly
 [2023-08-23 19:32:22,617]  -------------------------- PASSED -------------------------- 
 [2023-08-23 19:32:22,617] Myaccount - step 03: verify 'Last Name' value is correctly
 [2023-08-23 19:32:22,645]  -------------------------- PASSED -------------------------- 
 [2023-08-23 19:32:22,645] Myaccount - step 03: verify 'Email Name' value is correctly
 [2023-08-23 19:32:22,676]  -------------------------- PASSED -------------------------- 
 [2023-08-23 19:32:22,680] OS name = windows 11
